title,price_gbp
Boar Island (Anna Pigeon #19),59.48
A Year in Provence (Provence #1),56.88
The Past Never Ends,56.5
The Last Painting of Sara de Vos,55.55
A Flight of Arrows (The Pathfinders #2),55.53
Dune (Dune #1),54.86
Murder at the 42nd Street Library (Raymond Ambler #1),54.36
The Last Mile (Amos Decker #2),54.21
Tipping the Velvet,53.74
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48
The Guernsey Literary and Potato Peel Pie Society,49.53
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43
See America: A Celebration of Our National Parks & Treasured Sites,48.87
Sleeping Giants (Themis Files #1),48.74
A Time of Torment (Charlie Parker #14),48.35
Sharp Objects,47.82
Girl in the Blue Coat,46.83
Glory over Everything: Beyond The Kitchen House,45.84
It's Only the Himalayas,45.17
A Summer In Europe,44.34
Three Wishes (River of Time: California #1),44.18
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3
A Paris Apartment,39.01
Neither Here nor There: Travels in Europe,38.95
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59
The Invention of Wings,37.34
Under the Tuscan Sun,37.33
The House by the Lake,36.95
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94
The Last Girl (The Dominion Trilogy #1),36.26
Join,35.67
The Red Tent,35.66
Most Wanted,35.28
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26
World Without End (The Pillars of the Earth #2),32.97
Foundation (Foundation (Publication Order) #1),32.42
The Great Railway Bazaar,30.54
Mrs. Houdini,30.25
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69
The Passion of Dolssa,28.32
The Marriage of Opposites,28.08
The Widow,27.26
Poisonous (Max Revere Novels #3),26.8
Girl With a Pearl Earring,26.77
Soft Apocalypse,26.12
"1,000 Places to See Before You Die",26.08
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21
Arena,21.36
Voyager (Outlander #3),21.07
Delivering the Truth (Quaker Midwife Mystery #1),20.89
"Love, Lies and Spies",20.55
"In a Dark, Dark Wood",19.63
Ready Player One,19.07
Lilac Girls,17.28
A Study in Scarlet (Sherlock Holmes #1),16.73
A Murder in Time,16.64
The Constant Princess (The Tudor Court #1),16.62
That Darkness (Gardiner and Renner #1),13.92
Playing with Fire,13.71
Hide Away (Eve Duncan #20),11.84
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92
Tastes Like Fear (DI Marnie Rome #3),10.69
The Project,10.65
