title,price_gbp,category_name
"Love, Lies and Spies",20.55,Historical Fiction
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Mystery
Voyager (Outlander #3),21.07,Historical Fiction
Arena,21.36,Science Fiction
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,Travel
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Mystery
"1,000 Places to See Before You Die",26.08,Travel
Soft Apocalypse,26.12,Science Fiction
Girl With a Pearl Earring,26.77,Historical Fiction
Poisonous (Max Revere Novels #3),26.8,Mystery
The Widow,27.26,Mystery
The Marriage of Opposites,28.08,Historical Fiction
The Passion of Dolssa,28.32,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Historical Fiction
